,index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,Label
0,up_0,86.59023317167835,88.22515516866575,85.76830308487487,74.08882638435662,41.36667516321509,53.769011297993174,124.46977795265308,174.75986764091027,213.27114846232695,33.27821974350569,41.34019034630199,19.562157461158208,67.06970009774768,51.246945597826375,50.86360757912989,52.52538528914608,79.16235219177831,83.86844519706588,85.19563986586518,80.10506139862828,89.8430478258078,up
1,up_1,97.88097265176839,95.75697934339051,90.41422690209684,76.80568584867143,42.70964034834299,50.921686348642965,123.64953949279412,174.0873317992166,213.64739318976035,31.882508230466453,43.434340677779154,20.096648562551692,66.73379273629304,51.337065859530384,50.35227377113076,47.86756579224894,76.70673309752102,84.72852472747493,83.01072247216906,79.89677297028808,90.2339237633631,up
2,up_2,138.42224828712213,110.89744194698764,89.7305742972752,71.02886577471605,39.288975333628116,46.6451116400132,106.50354235962007,150.0425487650396,188.18773494244098,37.735353663372116,60.35730722246801,12.503514245232234,50.079030512302815,60.74266376949614,46.10706754939566,35.637791095900056,71.50327839240438,95.39494227336095,71.80631860978706,69.48315836986801,85.77131700552162,up
3,up_3,135.04809758797612,114.80724257574435,87.52761792843879,72.13570607336528,35.577388421487925,52.563232625441515,126.89661369356322,177.0448909854116,218.65506232689683,42.793948117284664,54.480123900618615,10.211482576846205,55.72114324911742,59.727062504905206,38.21415962002636,46.077968035949645,77.57815165697411,91.42932787385486,69.32386447639114,79.44712584473189,94.45048133300479,up
4,up_4,141.77438881639745,114.87664684751948,87.3914357277002,75.41331315128328,32.8702527331207,53.71819050312198,131.87214656078345,181.13025092582828,224.8341742166693,47.73664051933862,51.3528984713219,19.723715251206038,66.02976378282312,67.02185990567122,34.224416103074304,49.65333336986782,84.45329050217045,95.38431632324841,69.4918713333142,76.67045243536778,90.32679394961066,up
5,up_5,147.84199753732926,115.5766867562051,85.3905261145133,72.48066440105347,31.989120883126535,52.69967965583531,128.79078289861113,180.11324228204728,222.81461234381126,51.36303143051843,43.867973431314546,22.434434578907574,65.16001584099789,67.98927819967923,30.669032739246894,45.45923393671941,77.21718934968925,92.13457573219445,67.60120488936816,75.06992960610636,86.42100189861839,up
6,up_6,148.30205280512186,116.36139848201097,87.88912825949039,71.82103292890639,31.72536628966089,53.89561170866554,128.52560911953105,177.82274162109223,219.5050141731745,52.313831454513505,42.30246879572339,26.113740399294077,67.61250806740965,66.67921650583635,32.19174412831146,46.901861162419415,81.43489254217758,89.83171467500354,68.11876050604428,73.19103386099779,87.32437509230039,up
7,up_7,146.3214862016616,114.69618746715663,87.07126905984322,78.02610180162966,40.89156614029225,55.29252244697064,128.05402948412117,176.2755586074209,218.0303084882951,54.319392226736895,51.46544092862047,20.04105763001807,66.09896037274927,71.29500209876592,33.262680224113176,50.45815041507823,83.8898154354082,97.0906605801098,72.93523670239556,78.13008804293243,87.69794584376206,up
8,up_8,143.2910632181433,111.25408601632928,83.29377292276865,68.86214827358066,32.40510303868583,55.01251146088098,125.58489914565381,172.98993980684662,214.79158278731776,55.12406127562877,52.366339953167476,20.456579756371738,64.49618104674502,71.99004718309355,30.540297159112473,51.30065661972088,83.26947212911902,95.31474296643394,67.98806084330954,76.90033895581523,89.59110945525809,up
9,up_9,139.95319107333702,110.3347308623496,83.78368108062274,69.78634384210189,35.134984277517546,57.133848496236695,126.77103648550789,175.2550263559894,217.07622202304987,56.34790295832182,51.13232577566782,21.081259476933223,66.29436861949586,72.31077424950142,32.610113479314776,50.97376053459809,85.19943257239215,95.65210014964936,70.16063525388739,81.05988659885666,96.52258791248951,up
