,index,0_dist,0_angle,1_dist,1_angle,2_dist,2_angle,3_dist,3_angle,4_dist,4_angle,5_dist,5_angle,6_dist,6_angle,7_dist,7_angle,8_dist,8_angle,9_dist,9_angle,10_dist,10_angle,11_dist,11_angle,12_dist,12_angle,13_dist,13_angle,14_dist,14_angle,15_dist,15_angle,16_dist,16_angle,17_dist,17_angle,18_dist,18_angle,19_dist,19_angle,20_dist,20_angle,Label
0,thumbs_down_0,81.02513537389666,0.38181599111865594,54.40348544923335,-0.08852025975023872,45.432589419995594,-0.9830844209135587,63.47835169399759,-1.4255044199664229,84.8695143565708,-1.533194743195661,25.98032571510676,0.7036561341261998,41.60043715974731,0.870488710555655,25.902310808408945,-1.486128378535393,20.478239100176324,-1.3145378262392355,24.87159769460108,-0.29329064534710814,32.333473595319575,0.3082441563722946,6.208764195431086,-1.210230326316788,4.194802961056251,0.045423279421580094,37.244062364434626,-0.9451961189873647,33.54848929217004,-0.5379852304926487,16.23418469879124,1.4973990008932843,21.81690455273248,1.3305820532401194,56.17766197711881,-1.3040238702862972,48.38463146866242,-1.1031874709078584,39.23222910380591,-1.5246565571961017,41.3138532107595,1.4934940253909836,thumbs_down
1,thumbs_down_1,76.93461015929573,0.39855246938514877,54.06372740863501,-0.07670433739566658,44.85512077132813,-1.0606044109457655,65.4099231759725,-1.4804000831419584,88.22930596371597,-1.5265248947219672,22.101087074771282,0.8189221843465031,41.89420862784366,0.8030812075227173,22.33257182172122,-1.4403583604647143,19.079556558213053,-1.2561490467707652,19.973338237831246,-0.29762250762126974,33.37208631663171,0.2775156528936957,2.8670463282838936,-0.8441539861131785,4.32390392177213,0.44394572508799285,33.218339059721515,-0.9947215869638998,34.494733240238176,-0.5105846795961839,17.958442831555285,1.464531463903818,22.64069139910434,1.3069423545818009,53.0501196298723,-1.2822627464133722,46.44895767328088,-1.0750496550177744,38.87257513344938,-1.5426175130752613,41.95781273954374,1.5015103681101913,thumbs_down
2,thumbs_down_2,81.3993542682216,0.35801750368926116,56.50408850818311,-0.09706907763418286,46.32902637447993,-0.9423023149867464,62.16642501457657,-1.4216412477621745,80.48571372224194,-1.5554129250143014,18.038256146514172,0.9315190577188344,40.47394951779676,0.7804065243234086,23.638097156670813,1.4536875822280324,19.500857589142544,-1.2451847877228586,15.76154509732073,-0.35806345680997576,32.62992519361007,0.23117423032764894,4.439821859105339,0.8994054557907918,5.264220563444278,0.09966865249116094,31.232577909972367,-1.078507166202567,36.69303319170079,-0.46712989324188164,16.946628237404035,-1.3469460801367161,20.214271692182017,1.3086764855294237,51.65727366888901,-1.360926273930295,49.12130387450098,-0.9701565901331567,37.339467426094856,-1.361395340758494,38.58876741386723,1.5127651416334975,thumbs_down
3,thumbs_down_3,77.38745760201913,0.3289502743202715,53.993469832753846,-0.16746852246286387,46.77055976542269,-1.0260115670160108,65.29865107488475,-1.475118655218593,84.01847599421227,1.549824345306889,19.694319311718477,0.865841687787899,38.8686374221774,0.6986598247214633,21.33428994453862,1.3935381495841626,16.835606366369937,-1.2544124471723985,16.53594997946462,-0.3071796366778727,32.012787977686486,0.12527750351016156,2.6653908512679085,0.8486049952949093,6.921981811558488,0.4482642072202108,29.89839179955247,-1.0544159107515039,35.85764876643042,-0.5916858281440615,18.016117752340907,-1.5284935365246268,21.269462209368083,1.2235555438987857,49.96293410700075,-1.374148430357103,48.2558609695634,-1.0559341520699728,36.19602087851152,-1.4666768593424622,37.24193135763995,1.4567502453943784,thumbs_down
4,thumbs_down_4,73.92631313167611,0.3109544776313467,52.059990687527865,-0.16169004458903652,45.79878103914125,-1.0350130272581402,64.60543071603608,-1.4874102519169183,84.396483575498,1.5516113219974903,19.09262540016963,0.7765800498158215,38.7384976711031,0.6159625731186386,20.89781856705812,1.347925724974083,17.579879242901875,-1.199344028223419,16.599046498856538,-0.3453396445021473,33.70325350841005,0.07070347854909209,3.7486203055272918,1.1241925217890907,6.5831503462039755,0.2484874206573988,29.458683931175788,-1.1281145534664763,36.365273360390994,-0.5698425950305561,15.631310517059175,-1.5311829142200752,21.33418365652289,1.167076872915298,49.21241386077838,-1.4153514491456964,48.24693192224035,-1.1292201882456752,35.71520633734067,-1.497399000893285,36.02320365839297,1.4208605595784494,thumbs_down
5,thumbs_down_5,75.38421615531645,0.3153583122570679,55.06592626867965,-0.12049359574004498,45.82439616019735,-1.0023934039720381,62.87492533456927,-1.4805478493350652,83.62170513186749,-1.5628238305635977,19.858284767897302,0.6885977331742137,38.64452215994553,0.6252630523412154,19.66430286728301,1.5029395039385922,14.86027134338711,-1.390369596913299,19.412049464162553,-0.3349383080504654,31.54164363895313,0.11499197228302233,2.70256449974525,-1.3215441854096839,2.9063227656508985,0.9600703624056961,30.513370178287254,-1.0442945573685194,34.61652574819265,-0.559765835666001,15.470988136602758,1.4628583375319686,19.934871280510503,1.3345080590233296,48.71754399567495,-1.3360117154670905,45.211345474749926,-1.1043225359639521,33.38760887371026,1.5508275121007713,34.696219742200945,1.435886736108099,thumbs_down
6,thumbs_down_6,71.71529753286086,0.27848207418003085,52.187282662113475,-0.21797615105208087,46.86848972175427,-1.034384471909194,64.47619047619047,-1.4939111467525206,86.29207376963919,1.5586556429737681,18.621239671230903,0.7944395083451158,37.087259977082546,0.5787436088854445,18.96960213047869,1.3014619448251652,17.33941546875747,-1.220382903289419,16.09608338157942,-0.3629257710117335,32.048892637256216,0.00891506841347392,2.4178099571021017,0.5606869949828052,7.1606128520702566,0.24175286786424371,28.396647945003505,-1.1326495652739248,35.676964626894225,-0.6194736909483916,17.74523665765778,-1.5117253449342356,20.59329745880338,1.2775676626319927,48.38819312146396,-1.4037062183944458,46.28162337398635,-1.1227940127021436,35.77293596905076,-1.513525690198933,35.93231859029385,1.460578151399903,thumbs_down
7,thumbs_down_7,71.31969479893442,0.31288254362560824,52.82156674912435,-0.1913843168391784,47.39222167969087,-0.9683019841818288,64.41364695336074,-1.464139410839917,84.05538882203017,1.557199431057117,21.347996661308684,0.7822435997289713,41.33053534527997,0.5064270631324517,21.57983647768508,1.0814880139495235,18.771148315174926,-1.1389200890906708,16.885434961297253,-0.2976695724564092,35.14288940506972,0.0013550127208399366,4.273262333985199,0.24768135924887105,10.898833905462837,0.08749534080239227,28.202056823400223,-1.086003833439844,36.485793837155825,-0.6455893333747286,18.079817991177475,-1.451995015756914,22.35586232957402,1.0117454422790477,47.49259400433684,-1.4198240817487855,46.97895992608779,-1.1039755643462767,35.01800638207517,-1.5095650639546563,35.08864705182345,1.3156139361740782,thumbs_down
8,thumbs_down_8,69.75429830138982,0.28439485734063996,53.19456862800257,-0.2165328194016902,48.331644352380465,-0.9540973928374507,63.21689977556288,-1.4127063556732107,80.42858552538715,1.5702042605526514,22.992653859858684,0.7355860306553029,40.5667614127536,0.5277364678731119,21.431957404444923,1.134974535934747,18.252077196732035,-1.1199834855639073,19.845720135831552,-0.28456193706396027,35.050239291286104,0.012227651425477114,5.245881658636342,0.275805898588526,10.967277653926804,0.05212664904564465,30.189800202736983,-1.0103578561934299,36.98899756742649,-0.6226439740733527,17.60263070423708,-1.511246223070671,22.642043448400898,0.9617933103906686,48.42416986131376,-1.3828508231391277,46.595986319028405,-1.1021213378459658,34.58729794503064,-1.5405025668761219,35.97545774678485,1.2904966704564451,thumbs_down
9,thumbs_down_9,69.60204339273699,0.29145679447786715,51.09577064471948,-0.2370674357739617,48.635834982494586,-0.9656851265351238,63.737308104786194,-1.418544612692793,78.00071224746036,1.566522848536547,22.161026851459557,0.8066715494215092,40.11788185391204,0.4933786227775221,21.168635079076576,1.1141908549024024,19.564707454438913,-1.1681416732430243,18.040078836979752,-0.2808377246212027,36.34709219609062,-0.027515989285454408,5.426273532033245,0.18534794999569446,10.666666666666657,-0.0,28.81743299540132,-1.0502154933032368,39.10811225876858,-0.5974585864753967,17.159383568311668,-1.4343937223939487,22.600393310245234,0.9213955814348326,47.568663821656564,-1.4160159414231832,47.10744220514537,-1.1008196883778885,35.0015872655957,-1.5612728052012834,35.94594707489442,1.2402483454044748,thumbs_down
